ID,date,chamber,debate_num,crime,technologies,security,defence,geopolitics,energy,climate
ParlaMint-NL-en_2022-04-21-tweedekamer-4,2022-04-21,tweedekamer,4,0.14289112389087677,0.14364899694919586,0.14387623965740204,0.14374443888664246,0.14266899228096008,0.14312197268009186,0.14004816114902496
ParlaMint-NL-en_2022-04-21-tweedekamer-8,2022-04-21,tweedekamer,8,0.14186912775039673,0.14200860261917114,0.1448775678873062,0.14247320592403412,0.1439180076122284,0.14286257326602936,0.14199092984199524
ParlaMint-NL-en_2022-04-21-tweedekamer-9,2022-04-21,tweedekamer,9,0.14493227005004883,0.13470561802387238,0.1456170231103897,0.14134187996387482,0.1453559249639511,0.14357367157936096,0.1444736123085022
ParlaMint-NL-en_2022-05-10-tweedekamer-32,2022-05-10,tweedekamer,32,0.1448933482170105,0.14386603236198425,0.14310553669929504,0.14521481096744537,0.13643960654735565,0.14423248171806335,0.14224815368652344
ParlaMint-NL-en_2022-05-10-tweedekamer-33,2022-05-10,tweedekamer,33,0.14755527675151825,0.14280763268470764,0.140206441283226,0.1455117166042328,0.13866862654685974,0.14139539003372192,0.14385491609573364
ParlaMint-NL-en_2022-05-11-tweedekamer-10,2022-05-11,tweedekamer,10,0.13989204168319702,0.14580819010734558,0.13900652527809143,0.14565333724021912,0.14701002836227417,0.14034099876880646,0.14228887856006622
ParlaMint-NL-en_2022-05-11-tweedekamer-11,2022-05-11,tweedekamer,11,0.14417852461338043,0.14208948612213135,0.14413410425186157,0.14439170062541962,0.1385025829076767,0.14381974935531616,0.14288386702537537
ParlaMint-NL-en_2022-05-11-tweedekamer-12,2022-05-11,tweedekamer,12,0.13997110724449158,0.14585614204406738,0.14242872595787048,0.13977688550949097,0.14548353850841522,0.14381586015224457,0.142667755484581
ParlaMint-NL-en_2022-05-11-tweedekamer-3,2022-05-11,tweedekamer,3,0.14340943098068237,0.14289918541908264,0.14637774229049683,0.14075849950313568,0.13825063407421112,0.14171291887760162,0.14659157395362854
ParlaMint-NL-en_2022-05-11-tweedekamer-4,2022-05-11,tweedekamer,4,0.14264921844005585,0.14938215911388397,0.1412992626428604,0.14225609600543976,0.13461799919605255,0.1454380750656128,0.14435714483261108
ParlaMint-NL-en_2022-05-11-tweedekamer-5,2022-05-11,tweedekamer,5,0.14467398822307587,0.14148740470409393,0.1443593055009842,0.14306464791297913,0.13963399827480316,0.14271953701972961,0.1440611630678177
ParlaMint-NL-en_2022-05-11-tweedekamer-9,2022-05-11,tweedekamer,9,0.14431725442409515,0.14362870156764984,0.14298082888126373,0.1450108140707016,0.13864603638648987,0.1415621042251587,0.1438542902469635
ParlaMint-NL-en_2022-05-12-tweedekamer-3,2022-05-12,tweedekamer,3,0.1421584188938141,0.14228573441505432,0.1425907462835312,0.14224359393119812,0.1425010859966278,0.14485161006450653,0.14336884021759033
ParlaMint-NL-en_2022-05-12-tweedekamer-6,2022-05-12,tweedekamer,6,0.14417114853858948,0.1411389708518982,0.14401854574680328,0.14359025657176971,0.1437281370162964,0.1421051323413849,0.14124774932861328
ParlaMint-NL-en_2022-05-17-eerstekamer-3,2022-05-17,eerstekamer,3,0.1427651196718216,0.14262446761131287,0.14151671528816223,0.14518700540065765,0.14166942238807678,0.14291085302829742,0.14332637190818787
ParlaMint-NL-en_2022-05-17-eerstekamer-6,2022-05-17,eerstekamer,6,0.1439378410577774,0.14066259562969208,0.14259663224220276,0.14368878304958344,0.14212986826896667,0.14287033677101135,0.1441139280796051
ParlaMint-NL-en_2022-05-17-tweedekamer-21,2022-05-17,tweedekamer,21,0.1458200365304947,0.140493243932724,0.14498023688793182,0.14426973462104797,0.14652162790298462,0.13880987465381622,0.13910523056983948
ParlaMint-NL-en_2022-05-17-tweedekamer-22,2022-05-17,tweedekamer,22,0.14498937129974365,0.1404932737350464,0.1437113881111145,0.14405964314937592,0.1408599615097046,0.14366234838962555,0.1422240138053894
ParlaMint-NL-en_2022-05-18-tweedekamer-10,2022-05-18,tweedekamer,10,0.14290033280849457,0.14037907123565674,0.14379221200942993,0.1430879831314087,0.14309418201446533,0.14181871712207794,0.144927516579628
ParlaMint-NL-en_2022-05-18-tweedekamer-3,2022-05-18,tweedekamer,3,0.14341221749782562,0.14317640662193298,0.1430126130580902,0.1427917629480362,0.14554736018180847,0.13855545222759247,0.14350415766239166
ParlaMint-NL-en_2022-05-18-tweedekamer-6,2022-05-18,tweedekamer,6,0.14266452193260193,0.1435934156179428,0.13923639059066772,0.1432931274175644,0.1420080065727234,0.14260055124759674,0.14660397171974182
ParlaMint-NL-en_2022-05-18-tweedekamer-8,2022-05-18,tweedekamer,8,0.15017037093639374,0.1408328264951706,0.14265620708465576,0.1411423683166504,0.13681983947753906,0.1438312828540802,0.14454711973667145
ParlaMint-NL-en_2022-05-18-tweedekamer-9,2022-05-18,tweedekamer,9,0.1419753134250641,0.14384590089321136,0.14341986179351807,0.14477239549160004,0.14455285668373108,0.1420322060585022,0.13940148055553436
ParlaMint-NL-en_2022-05-19-tweedekamer-10,2022-05-19,tweedekamer,10,0.14069338142871857,0.14476953446865082,0.14286038279533386,0.14379198849201202,0.13869136571884155,0.14249025285243988,0.1467031091451645
ParlaMint-NL-en_2022-05-19-tweedekamer-11,2022-05-19,tweedekamer,11,0.13644593954086304,0.14102908968925476,0.14049631357192993,0.14361943304538727,0.15103952586650848,0.1427086740732193,0.14466097950935364
ParlaMint-NL-en_2022-05-19-tweedekamer-3,2022-05-19,tweedekamer,3,0.14060695469379425,0.14150625467300415,0.14318466186523438,0.1444578468799591,0.1420842707157135,0.14362096786499023,0.14453907310962677
ParlaMint-NL-en_2022-05-19-tweedekamer-6,2022-05-19,tweedekamer,6,0.1447095274925232,0.13969489932060242,0.14222343266010284,0.1445993185043335,0.14481522142887115,0.14305782318115234,0.14089974761009216
ParlaMint-NL-en_2022-05-19-tweedekamer-7,2022-05-19,tweedekamer,7,0.14127478003501892,0.14581398665905,0.14144277572631836,0.14221684634685516,0.13849879801273346,0.146869495511055,0.14388340711593628
ParlaMint-NL-en_2022-05-24-eerstekamer-10,2022-05-24,eerstekamer,10,0.14470267295837402,0.14326445758342743,0.14228801429271698,0.14391539990901947,0.1409294456243515,0.1424778252840042,0.14242224395275116
ParlaMint-NL-en_2022-05-24-eerstekamer-8,2022-05-24,eerstekamer,8,0.144162118434906,0.14304165542125702,0.1429087519645691,0.14315657317638397,0.13974067568778992,0.1433507651090622,0.1436394304037094
ParlaMint-NL-en_2022-05-24-eerstekamer-9,2022-05-24,eerstekamer,9,0.14313757419586182,0.13958896696567535,0.13804899156093597,0.1405271589756012,0.14689357578754425,0.14684249460697174,0.14496123790740967
ParlaMint-NL-en_2022-05-24-tweedekamer-22,2022-05-24,tweedekamer,22,0.14399489760398865,0.14328105747699738,0.1430133432149887,0.14135418832302094,0.14367401599884033,0.14243444800376892,0.14224806427955627
ParlaMint-NL-en_2022-05-24-tweedekamer-23,2022-05-24,tweedekamer,23,0.1431608647108078,0.14241275191307068,0.14201585948467255,0.14368872344493866,0.1448809951543808,0.14267171919345856,0.14116910099983215
ParlaMint-NL-en_2022-05-24-tweedekamer-24,2022-05-24,tweedekamer,24,0.14354781806468964,0.1395639330148697,0.14097855985164642,0.14445796608924866,0.14654764533042908,0.1397840678691864,0.14512000977993011
ParlaMint-NL-en_2022-05-24-tweedekamer-25,2022-05-24,tweedekamer,25,0.14249171316623688,0.13911981880664825,0.14699789881706238,0.14387568831443787,0.14362192153930664,0.14302851259708405,0.14086441695690155
ParlaMint-NL-en_2022-05-25-tweedekamer-10,2022-05-25,tweedekamer,10,0.1430710107088089,0.1455933153629303,0.14292313158512115,0.14077655971050262,0.1392499953508377,0.14324602484703064,0.14513994753360748
ParlaMint-NL-en_2022-05-25-tweedekamer-11,2022-05-25,tweedekamer,11,0.14493818581104279,0.13890816271305084,0.1477130949497223,0.14236173033714294,0.1438378095626831,0.14098119735717773,0.1412598192691803
ParlaMint-NL-en_2022-05-25-tweedekamer-12,2022-05-25,tweedekamer,12,0.141285702586174,0.14713943004608154,0.1437411904335022,0.14150261878967285,0.14577610790729523,0.1413438320159912,0.13921117782592773
ParlaMint-NL-en_2022-05-25-tweedekamer-4,2022-05-25,tweedekamer,4,0.14406819641590118,0.14293311536312103,0.14396826922893524,0.1420634686946869,0.14117173850536346,0.14389193058013916,0.14190322160720825
ParlaMint-NL-en_2022-05-25-tweedekamer-5,2022-05-25,tweedekamer,5,0.13798175752162933,0.14380744099617004,0.1434040516614914,0.14257113635540009,0.14480681717395782,0.144413024187088,0.14301572740077972
ParlaMint-NL-en_2022-05-25-tweedekamer-9,2022-05-25,tweedekamer,9,0.1435219645500183,0.1419253945350647,0.14356978237628937,0.1453980803489685,0.1406584531068802,0.14322645962238312,0.14169985055923462
ParlaMint-NL-en_2022-05-31-eerstekamer-11,2022-05-31,eerstekamer,11,0.14224833250045776,0.14228060841560364,0.14169974625110626,0.14617392420768738,0.14037248492240906,0.14369143545627594,0.14353348314762115
